Disease	genes
Sensorineural deafness in SMS	MYO15A
Sensorineural deafness with palmoplantar lichen planus	SLC26A4
"Sensorineural deafness, nonsyndromic"	"c(\MYO1A\"", \""PRPS1\"")"""
"Sensorineural hearing impairment, idiopathic"	"c(\KCNQ4\"", \""MYH9\"")"""
Sensorineural hearing loss	"c(\GIPC3\"", \""GJB2\"", \""MYO7A\"", \""OTOGL\"", \""POU3F4\"", \""SLC26A4\"", \""TCF21\"", \""WFS1\"")"""
"Sensorineural hearing loss, bilateral"	"c(\MYO1C\"", \""MYO1F\"")"""
"Sensorineural hearing loss, nonsyndromic"	"c(\CDH23\"", \""COCH\"", \""COL11A2\"", \""EYA4\"", \""MYO6\"", \""OTOA\"", \""OTOF\"", \""OTOR\"", \""WFS1\"")"""
Sensory and autonomic neuropathy	"c(\NGF\"", \""NTRK1\"", \""SPTLC1\"")"""
Sensory and autonomic neuropathy type I	SPTLC2
Sensory and autonomic neuropathy type II	FAM134B
Sensory and autonomic neuropathy type IV	NTRK1
Sensory and autonomic neuropathy type V	NTRK1
"Sensory ataxia, autosomal dominant"	RNF170
Sensory neuropathy	"c(\POLG\"", \""RAB7A\"")"""
Sensory neuropathy 1	ATL3
Sensory neuropathy with bone destruction	ATL3
Sensory neuropathy with dementia & hearing loss	DNMT1
"Sensory-ataxic neuropathy, ophthalmoplegia, dysarthria and gastroparesis"	POLG
Sensory-motor polyneuropathy	IGHMBP2
Sepiapterin reductase deficiency	SPR
SEPN-related myopathy	SEPN1
"Sepsis and multiple organ dysfunction in major trauma, association with"	LBP
"Sepsis, in males, association with"	LBP
"Sepsis, susceptibility, association with"	"c(\CASP12\"", \""IRAK1\"")"""
"Septic shock, modifier of"	SVEP1
Septic-optic dysplasia	FGFR1
Septo-optic dysplasia	"c(\HESX1\"", \""KAL1\"")"""
Septo-optic dysplasia / Moebius syndrome	FGF8
SERKAL syndrome	WNT4
Serpentine fibula-polycystic kidney syndrome	NOTCH2
Serum amyloid variant	SAA1
Serum C-peptide and insulin response	HNF1A
"Serum IgM levels, association with"	TNFSF13
"Serum lipid levels in drinkers, association with"	APOA5
"Serum progesterone levels in bipolar disorder, association with"	AKR1C4
"Serum vitamin B12 levels, association with"	CLYBL
SeSAME syndrome	KCNJ10
Setleis syndrome	TWIST2
Severe asphyxiating thoracic dysplasia	WDR34
"Severe chylothorax, poor response to therapy"	ITGA9
Severe combined immune deficiency syndrome	ORAI1
Severe combined immunodeficiency with pneumothorax	IL2RG
"Severe coronary artery disease, association with"	LPA
"Severe infection in C2 deficiency, protection against, association"	IGHG2
Severe insulin resistance and diabetes mellitus	AKT2
"Severe intellectual disability, seizures, absent speech, rounded premaxilla & decreased subcutaneous fat"	SMARCA2
Severe iron overload	ALAS2
"Severe malaria, increased risk"	RTN3
"Severe obesity, in men, association with"	NPY2R
"Severe RSV infection, association with"	SFTPD
Sex hormone binding globulin deficiency	SHBG
Sexual ambiguity	HSD17B3
SH alloantigen	FCGR3B
Shah-Waardenburg syndrome	"c(\EDN3\"", \""EDNRB\"", \""SOX10\"")"""
Shah-Waardenburg syndrome and neuropathy	SOX10
Short normal stature	GHSR
Short QT syndrome	"c(\CACNA2D1\"", \""KCNH2\"", \""KCNJ2\"", \""KCNQ1\"")"""
Short QT syndrome 3	KCNJ2
Short QT3 syndrome & autism-epilepsy phenotype	KCNJ2
Short rib-polydactyly syndrome	"c(\DYNC2H1\"", \""WDR35\"")"""
"Short rib-polydactyly syndrome, Majewski type"	"c(\DYNC2H1\"", \""NEK1\"")"""
"Short rib-polydactyly syndrome, type 3"	"c(\DYNC2H1\"", \""IFT80\"")"""
Short sleep cycle	BHLHE41
Short stature	"c(\GH1\"", \""GHR\"", \""GHSR\"", \""IGF1R\"", \""IGFALS\"", \""NPR2\"", \""SHOX\"", \""shoxb\"")"""
Short stature & intellectual disability	XYLT1
Short stature & intrauterine growth retardation	IGF1R
Short stature with accelerated bone maturation	ACAN
"Short stature, association with"	IGF1R
"Short stature, auditory canal atresia, mandibular hypoplasia and skeletal abnormalities"	GSC
"Short stature, delayed puberty, osteopaenia & hyperinsulinaemia"	IGFALS
"Short stature, microcephaly, developmental & speech delay and dysmorphic facial features"	ZBTB18
"Short stature, onychodysplasia, facial dysmorphism & hypotrichosis syndrome"	POC1A
"Short stature, optic atrophy and Pelger-Huët anomaly"	NBAS
Short staure & intrauterine growth retardation	IGF1R
SHORT syndrome	PIK3R1
Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency	HADH
Short-limbed dwarfism	COL2A1
Short-rib polydactyly	WDR60
Short-rib polydactyly and Jeune syndrome	WDR60
Short-rib polydactyly syndrome type III/severe asphyxiating thoracic dysplasia	WDR34
Shprintzen-Goldberg syndrome	"c(\FBN1\"", \""SKI\"", \""TGFBR1\"", \""TGFBR2\"")"""
Shprintzen-Goldberg syndrome with aortic aneurysm	SKI
Shwachman-Diamond syndrome	SBDS
"Sialic acid storage disease, infantile"	SLC17A5
Sialidosis	NEU1
Sialidosis 1	NEU1
Sialidosis 2	NEU1
Sialuria	GNE
Sick sinus syndrome	SCN5A
"Sick sinus syndrome, autosomal recessive"	SCN5A
"Sick sinus syndrome, increased risk, association with"	MYH6
Sickle cell anaemia	HBB
Sickling variant	HBB
Sideroblastic anaemia	"c(\ALAS2\"", \""GLRX5\"", \""PUS1\"", \""SLC25A38\"")"""
Sideroblastic anaemia and ataxia	ABCB7
"Sideroblastic anaemia with immunodeficiency, fevers & developmental delay"	TRNT1
Silver-Russell syndrome	CDKN1C
Simpson-Golabi-Behmel syndrome	GPC3
"Single strand breaks, association with"	ERCC5
Single suture craniosynostosis	IGF1R
Sinus bradycardia	HCN4
Sinus bradycardia & myocardial noncompaction	HCN4
"Sinus bradycardia, asymptomatic, association with"	HCN4
Sinus node disease	HCN4
Sinus node dysfunction and atrial flutter	SCN5A
Sitosterolaemia	"c(\ABCG5\"", \""ABCG8\"")"""
Situs abnormality	ZIC3
Situs ambiguus	NODAL
Situs inversus and congenital athyroid	ZMYND10
Sjoegren-Larsson syndrome	ALDH3A2
"Sjogren's syndrome, association with"	TAP2
"Sjogren's syndrome, with lymphoma"	TNFAIP3
Skeletal and cardiac muscular dystrophy	LMNA
Skeletal defects and genital hypoplasia	ZBTB16
Skeletal dysplasia	"c(\B3GAT3\"", \""FGFR3\"")"""
Skeletal dysplasia & peripheral neuropathy	TRPV4
Skeletal myopathy without cardiac involvement	MYH7
"Skin cancer, association with"	PTCH1
Skin fragility and woolly hair	DSP
"Skin lesions in PXE, association with"	XYLT2
"Skin pigmentation, association with"	"c(\OCA2\"", \""TYR\"")"""
SLC10A1 deficiency	SLC10A1
SLC6A8 deficiency	SLC6A8
"Sleep disorders, reduced risk, association with"	CSNK1E
SLIT-ROBO gap 3 deficiency	SRGAP3
Slow acetylation	"c(\NAT1\"", \""NAT2\"")"""
Slow channel myasthenic syndrome	"c(\CHRNA1\"", \""CHRNB1\"", \""CHRND\"", \""CHRNE\"")"""
Slow inactivation and negative shft inactivation	SCN5A
Slowed nerve conduction velocities	ARHGEF10
"Slower APCE cleavage time, association with"	SERPINF2
"Slower HIV-1 disease proression, association with"	TRIM5
"Slower progression of HIV, association with"	TLR8
"Small cell carcinoma of the ovary, hypercalcemic type"	SMARCA4
Small fibre neuropathy	"c(\SCN10A\"", \""SCN9A\"")"""
Small patella syndrome	TBX4
Small vessel disease	COL4A1
Smaller decline in cholesterol synthesis after weight loss	ABCG8
Smith-Lemli-Opitz syndrome	DHCR7
Smith-Magenis syndrome	RAI1
Smith-McCort dysplasia	"c(\DYM\"", \""RAB33B\"")"""
Snowflake vitreoretinal degeneration	KCNJ13
Snyder-Robinson syndrome	SMS
Sodium diarrhoea	SPINT2
"Sodium valproate-induced liver toxicity, association with"	POLG
Solid pseudopapillary tumours	PRSS1
Solitary median maxillary central incisor	"c(\SHH\"", \""SIX3\"")"""
Somatostatin analog resistance	SSTR5
Somatotropinoma	AIP
"Somatotropinoma, pediatric"	AIP
Sotos syndrome	NSD1
Sotos-like syndrome	"c(\NFIX\"", \""NSD1\"")"""
SOX2 anophthalmia syndrome	SOX2
Spasmodic dysphonia	THAP1
"Spasms, infantile, and bitemporal glucose hypometabolism"	SCN2A
Spastic ataxia	"c(\MTPAP\"", \""SACS\"")"""
Spastic ataxia-neuropathy syndrome	AFG3L2
"Spastic ataxia, Charlevoix-Saguenay"	SACS
"Spastic paralysis, infantile-onset"	ALS2
Spastic paraparesis	"c(\IFIH1\"", \""KIF1A\"", \""SPAST\"")"""
Spastic paraparesis & deafness	KIF5A
Spastic paraparesis & intestinal dysmotility	OPA1
Spastic paraparesis type 15	ZFYVE26
Spastic paraparesis with thin corpus callosum	FA2H
"Spastic paraparesis, complex"	VPS37A
"Spastic paraparesis, segmental dystonia, intellectual disability, and behavioural problems"	TUBB4A
Spastic paraplegia	"c(\AFG3L2\"", \""ALS2\"", \""ATL1\"", \""ATP2B4\"", \""B4GALNT1\"", \""BICD2\"", \""BSCL2\"", \""CYP2U1\"", \""CYP7B1\"", \""DDHD1\"", \""DDHD2\"", \""EXOSC3\"", \""FA2H\"", \""GJC2\"", \""HSPD1\"", \""KIAA0196\"", \""KIF5A\"", \""L1CAM\"", \""MAG\"", \""PLP1\"", \""REEP1\"", \""REEP2\"", \""SPAST\"", \""SPG11\"", \""SPG21\"", \""SPG7\"", \""VCP\"", \""ZFYVE26\"", \""ZFYVE27\"")"""
Spastic paraplegia 12	RTN2
Spastic paraplegia 2	PLP1
Spastic paraplegia 26	B4GALNT1
Spastic paraplegia 3	ATL1
Spastic paraplegia 30	KIF1A
Spastic paraplegia 31	REEP1
Spastic paraplegia 35	FA2H
"Spastic paraplegia 3A, neonatal onset"	ATL1
Spastic paraplegia 4	SPAST
Spastic paraplegia 43	C19orf12
Spastic paraplegia 46	GBA2
Spastic paraplegia 48	AP5Z1
Spastic paraplegia 5	"c(\ANG\"", \""CYP7B1\"")"""
Spastic paraplegia 5 with sensory ataxia	CYP7B1
Spastic paraplegia 58	KIF1C
Spastic paraplegia 59	USP8
Spastic paraplegia 5a	CYP7B1
Spastic paraplegia 62	ERLIN1
Spastic paraplegia 64	ENTPD1
Spastic paraplegia 65	NT5C2
Spastic paraplegia 68	FLRT1
Spastic paraplegia 69	RAB3GAP2
Spastic paraplegia 70	MARS
Spastic paraplegia 71	ZFR
Spastic paraplegia and parkinsonism	ATP13A2
Spastic paraplegia with optic atrophy & neuropathy	C12orf65
Spastic paraplegia with thin corpus callosum	"c(\ATL1\"", \""SPG11\"", \""ZFYVE26\"")"""
"Spastic paraplegia with thin corpus callosum, atypical"	SPG11
"Spastic paraplegia, autosomal dominant"	"c(\NIPA1\"", \""SLC33A1\"", \""SPAST\"")"""
"Spastic paraplegia, autosomal recessive"	"c(\PNPLA6\"", \""SPG11\"", \""SPG7\"")"""
"Spastic paraplegia, infantile ascending"	ALS2
"Spastic paraplegia, infantile-onset"	ALS2
"Spastic paraplegia, modifier of"	HSPD1
"Spastic paraplegia, non-ataxic, and peripheral neuropathy"	SACS
"Spastic paraplegia, optic atrophy, and neuropathy"	TFG
"Spastic tetraplegia, autosomal recessive"	AP4M1
Spectrin variant	SPTB
Spermatogenic failure	"c(\INHBB\"", \""INSL6\"", \""NLRP14\"", \""NR5A1\"")"""
"Spermatogenic failure, association with"	TAF7L
Spherocytosis	"c(\ANK1\"", \""EPB42\"", \""SLC4A1\"", \""SPTA1\"", \""SPTB\"")"""
"Spherocytosis, association with"	SPTA1
Spheroid body myopathy	MYOT
Spina bifida	"c(\CELSR1\"", \""PAX1\"", \""SCRIB\"")"""
"Spina bifida, reduced risk, association with"	ISYNA1
Spinal extradural arachnoid cyst	FOXC2
Spinal muscular atrophy	"c(\DYNC1H1\"", \""GARS\"", \""LMNA\"", \""SETX\"", \""SMN1\"", \""SMN2\"")"""
Spinal muscular atrophy & cerebellar hypoplasia	EXOSC8
Spinal muscular atrophy associated with progressive myoclonic epilepsy	ASAH1
Spinal muscular atrophy with pontocerebellar hypoplasia	VRK1
Spinal muscular atrophy with respiratory distress 1	IGHMBP2
Spinal muscular atrophy with upper motor neuron features	BICD2
"Spinal muscular atrophy, autosomal dominant"	BICD2
"Spinal muscular atrophy, distal"	"c(\BSCL2\"", \""FBXO38\"")"""
"Spinal muscular atrophy, distal type 1"	IGHMBP2
"Spinal muscular atrophy, modifier of"	"c(\BICD2\"", \""SMN2\"")"""
"Spinal muscular atrophy, X-linked"	UBA1
"Spinal muscular atrophy, X-linked infantile"	UBA1
Spinal muscular dystrophy with respiratory distress	LAS1L
"Spine bone mineral density, reduced, in postmenopausal women, association with"	TNFRSF11B
Spinocerbellar ataxia	CCDC88C
Spinocerebellar ataxia	TGM6
Spinocerebellar ataxia & erythrokeratodermia	ELOVL4
Spinocerebellar ataxia 13	KCNC3
Spinocerebellar ataxia 14	PRKCG
"Spinocerebellar ataxia 14, late-onset"	PRKCG
Spinocerebellar ataxia 15	ITPR1
Spinocerebellar ataxia 15/29	ITPR1
Spinocerebellar ataxia 19	KCND3
Spinocerebellar ataxia 21	TMEM240
Spinocerebellar ataxia 22	KCND3
Spinocerebellar ataxia 23	PDYN
Spinocerebellar ataxia 26	EEF2
Spinocerebellar ataxia 28	AFG3L2
Spinocerebellar ataxia 38	ELOVL5
Spinocerebellar ataxia 6	CACNA1A
Spinocerebellar ataxia 7	TPP1
"Spinocerebellar ataxia type 1, spectrin-associated"	SPTBN2
Spinocerebellar ataxia type 5	SPTBN2
Spinocerebellar ataxia with axonal neuropathy	TDP1
Spinocerebellar ataxia with psychomotor retardation	SYT14
Spinocerebellar ataxia X1	GJB1
"Spinocerebellar ataxia, autosomal recessive"	"c(\ANO10\"", \""TTC19\"")"""
"Spinocerebellar ataxia, congenital nonprogressive"	ITPR1
Spinocerebral dysfunction	TTPA
"Spirocerebellar ataxia, infantile onset"	C10orf2
Splenic epidermoid cyst	HMCN1
Splenomegaly	CBL
Split hand/foot malformation	"c(\DLX5\"", \""WNT10B\"")"""
Split-hand/split-foot malformation	TP63
Spondylarthopathy	COL2A1
Spondylarthopathy with brachydactyly	COL2A1
Spondylo-megaepiphyseal-metaphyseal dysplasia	NKX3-2
"Spondylo-meta-epiphyseal dysplasia, short limb-hand type"	DDR2
Spondylocarpotarsal syndrome	FLNB
Spondylocostal dysostosis	"c(\DLL3\"", \""HES7\"", \""LFNG\"", \""MESP2\"", \""TBX6\"")"""
Spondyloenchondrodysplasia	ACP5
Spondyloepimetaphyseal dysplasia	ACAN
Spondyloepimetaphyseal dysplasia congenita	COL2A1
Spondyloepimetaphyseal dysplasia with joint laxity	"c(\B3GALT6\"", \""KIF22\"")"""
Spondyloepimetaphyseal dysplasia with joint laxity-leptodactylic type	NIN
"Spondyloepimetaphyseal dysplasia, Missouri type"	MMP13
"Spondyloepimetaphyseal dysplasia, Strudwick"	COL2A1
Spondyloepiphyseal dysplasia	"c(\COL2A1\"", \""MATN3\"", \""PAPSS2\"")"""
Spondyloepiphyseal dysplasia / COL2A1-related dysplasia	COL2A1
Spondyloepiphyseal dysplasia congenita	COL2A1
Spondyloepiphyseal dysplasia tarda	TRAPPC2
Spondyloepiphyseal dysplasia tarda and arthropathy	WISP3
"Spondyloepiphyseal dysplasia, Maroteaux type"	TRPV4
"Spondyloepiphyseal dysplasia, Omani type"	CHST3
"Spondyloepiphyseal dysplasia, Omani type with cardiac involvement"	CHST3
Spondylometaphyseal dysplasia with cone-rod dystrophy	PCYT1A
"Spondylometaphyseal dysplasia, Algerian type"	COL2A1
"Spondylometaphyseal dysplasia, Kozlowski type"	TRPV4
"Spondylometaphyseal dysplasia, Kozlowski type / brachyolmia"	TRPV4
"Spondylometaphyseal dysplasia, Sedaghatian type"	GPX4
Spondyloperipheral dysplasia	COL2A1
"Spongiform encephalopathy, familial"	PRNP
Spontaneous cervical artery dissections	COL5A2
Sporadic ataxia	PNPLA6
Squamous cell carcinoma of head & neck	"c(\ATP2A3\"", \""EGFR\"")"""
"Squamous cell carcinoma of head & neck, association with"	PTPN13
Squamous cell carcinoma of the head and neck	CDK4
"Squamous cell carcinoma of the head and neck, reduced risk, assoc"	ADH7
"Squamous cell carcinoma, increased risk, association"	SHFM1
Ss blood group variation	GYPB
SSADH deficiency & incomplete WAGR syndrome with obesity	ALDH5A1
"sST2 levels, association with"	IL1RL2
Stapes ankylosis with broad thumb and toes	NOG
Stargardt disease	"c(\ABCA4\"", \""CFH\"", \""ELOVL4\"", \""HMCN1\"", \""PRPH2\"")"""
Stargardt disease 1	ABCA4
Stargardt disease 2/3	ABCA4
Stargardt disease 3 and macular dystrophy	ELOVL4
Stargardt disease and macular degeneration	ABCA4
"Stargardt disease, association with"	ABCA4
"Stargardt disease, late-onset"	ABCA4
STAT1 deficiency	STAT1
STAT3 deficiency	STAT3
Static encephalopathy of childhood with neurodegeneration in adulthood	WDR45
"Stationary night blindness, autosomal dominant congenital"	TRPM1
"Stationary night blindness, complete congenital"	LRIT3
"Stationary night blindness, congenital"	"c(\CACNA1F\"", \""TRPM1\"")"""
"Stationary night blindness, Oguchi type"	GRK1
Steatocystoma multiplex	KRT17
Steroid-11 beta-hydroxylase deficiency	CYP11B1
"Steroid-11 beta-hydroxylase deficiency, non-classic"	CYP11B1
Steroid-17 alpha-hydroxylase deficiency	CYP17A1
Steroid-5 alpha-reductase deficiency	SRD5A2
Stickler syndrome	"c(\COL11A1\"", \""COL11A2\"", \""COL2A1\"")"""
"Stickler syndrome, autosomal recessive"	COL9A1
"Stickler syndrome, type 2"	COL11A1
"Stickler syndrome, without eye involvement"	COL11A2
Stickler-like syndrome	LRP2
Stiff skin syndrome	FBN1
Stiff skin syndrome with ectopia lentis	FBN1
STK4 deficiency	STK4
Stomatocytosis	SLC4A1
"Stomatocytosis, overhydrated"	RHAG
Striate palmoplantar keratoderma	"c(\DSG1\"", \""DSP\"")"""
"Striatonigral degeneration, infantile"	NUP62
Stroke	GH1
"Stroke recurrence, association with"	TBXAS1
"Stroke, childhood-onset"	COL4A1
"Stroke, early-onset"	MFN2
"Stroke, early-onset & vasculopathy"	CECR1
"Stroke, increased risk, association with"	"c(\LDLR\"", \""NPPA\"")"""
"Stroke, paediatic"	SERPINA5
"Stroke, protection against, association with"	VCAM1
"Stroke, reduced risk in sickle cell anaemia"	GOLGB1
Stromal interaction molecule 1 deficiency	STIM1
Sturge-Weber syndrome	RASA1
Stuttering	"c(\GNPTAB\"", \""GNPTG\"", \""NAGPA\"")"""
Stuve-Wiedemann syndrome	LIFR
Sub-Greig cephalopolysyndactyly syndrome	GLI3
Sub-Pallister-Hall syndrome	GLI3
"Subacute cutaneous lupus erythematosus, association with"	C1QA
Subacute myopathy	ETFDH
"Subarachnoid haemorrhage, association with"	"c(\CYP3A4\"", \""PKD1L1\"")"""
Subclinical leukodystrophy & male infertility	CLCN2
Subcortical band heterotopia	"c(\DCX\"", \""PAFAH1B1\"")"""
Subcortical dementia and parkinsonism	PSEN1
Subcortical myoclonus & seizures	NOL3
Substance dependence	POMC
"Substantia nigra hyperechogenicity in Parkinsonism, association with"	CP
Succinic semialdehyde dehydrogenase deficiency	ALDH5A1
Succinyl-coenzyme A synthetase deficiency	SUCLG1
Sucrase isomaltase deficiency	SI
Sudden adult death syndrome	SCN5A
Sudden arrhythmic death syndrome	KCNH2
"Sudden cardiac arrest, in coronary artery disease, association with"	DEGS2
Sudden cardiac death	"c(\PKP2\"", \""RYR2\"", \""SCN5A\"")"""
Sudden cardiac death in acute myocardial infarction	KCNJ11
Sudden infant death	"c(\AKAP9\"", \""EN1\"")"""
Sudden infant death syndrome	"c(\CAV3\"", \""GJA1\"", \""GPD1L\"", \""HCN4\"", \""KCND3\"", \""KCNH2\"", \""KCNJ8\"", \""KCNQ1\"", \""MYBPC3\"", \""RYR2\"", \""SCN3B\"", \""SCN4B\"", \""SCN5A\"", \""SNTA1\"")"""
"Sudden infant death syndrome, association with"	ADCYAP1
"Sudden infant death, increased risk"	ACADL
Sudden unexpected death in epilepsy	"c(\HCN2\"", \""HCN4\"")"""
Sudden unexpected death in infancy	CPT2
Sudden unexpected death with negative autopsy	PKP2
Sudden unexplained death	"c(\KCNH2\"", \""KCNQ1\"", \""RYR2\"", \""SCN5A\"")"""
Sudden unexplained death syndrome	KCND3
Sudden unexplained nocturnal death syndrome	"c(\KCNE1\"", \""KCNE2\"", \""SCN5A\"")"""
"Suicide, association with"	TPH2
Sulphite oxidase deficiency	SUOX
"Supranuclear palsy, progressive"	MAPT
Supravalvular aortic stenosis	ELN
SURF1 deficiency	SURF1
Surfactant protein B deficiency	SFTPB
"Surfactant protein B deficiency, partial"	SFTPB
Surfactant protein C deficiency	SFTPC
Sveinsson chorioretinal atrophy	TEAD1
Symphalangism	GDF5
"Symphalangism, proximal"	NOG
"Symphalangism, proximal & conductive hearing loss"	NOG
Symptomatic epilepsy & skull dysplasia	SNIP1
Syndactyly V	HOXD13
"Syndactyly, type 1c"	HOXD13
"Syndactyly, undescended testes, delayed motor milestones & mental retardation"	FBLN1
Syndromic cutis aplasia & limb anomalies	ARHGAP31
Syndromic deafness	FGF3
"Syndromic deafness, microtia & microdontia"	FGF3
"Synergistic convergance, with scoliosis"	ROBO3
"Synovitis, granulomatous, with uveitis"	NOD2
Synpolydactyly	HOXD13
"Systemic lupus erytematosus, association with"	FCGR3A
Systemic lupus erythematosus	"c(\DNASE1\"", \""ITGAM\"", \""PRKCD\"", \""TNFRSF1A\"", \""TNFRSF6B\"", \""TREX1\"")"""
"Systemic lupus erythematosus, association with"	"c(\DNASE1\"", \""FAS\"", \""FCAR\"", \""FCGR2B\"", \""IRF7\"", \""ITGAM\"", \""KLRK1\"", \""SLC15A4\"", \""TNFAIP3\"", \""TNFRSF1B\"", \""UHRF1BP1\"", \""WDFY4\"")"""
"Systemic lupus erythematosus, increased risk, association with"	"c(\IKBKE\"", \""MAVS\"", \""NCF2\"", \""NFKBIL1\"")"""
"Systemic lupus erythematosus, protection against, assoc"	"c(\MFGE8\"", \""TNFAIP3\"")"""
"Systemic lupus erythematosus, protection against, association"	BANK1
"Systemic lupus erythematosus, reduced risk, association"	PTPN22
"Systemic lupus erythematosus, risk, association with"	ESR1
"Systemic lupus erythematosus, susceptibility association with"	TYK2
"Systemic lupus erythematosus, susceptibility to"	NCF2
"Systemic lupus erythematosus, susceptibility, association"	LTK
Systemic sclerosis	TREX1
Systemic sclerosis with autoimmune thyroiditis	AIRE
"Systemic sclerosis, protection against, association with"	SDC2
"Systemic vasculitis, association with"	C3
T cell senescence & immunodeficiency	PIK3CD
T-cell immunodeficiency	LCK
T-cell lymphopaenia & hypogammaglobulinaemia	DOCK8
Tachycardia-bradycardia syndrome and atrial fibrillation	HCN4
"Talipes equinovarus, atrial septal defect, Robin sequence, and persistent left superior vena cava syndrome"	RBM10
"Talipes equinovarus, congential idiopathic, association with"	GLI3
Tall stature	NPR2
"Tall stature, association with"	FBN1
"Tall stature, lateral tibial deviation, scoliosis, hearing impairment, camptodactyly and arachnodactyly"	FGFR3
"Tall stature, scoliosis & macrodactyly of great toes"	NPR2
"Tamm Horsfall protein levels, association with"	UMOD
Tangier disease	ABCA1
"Tardive dyskinesia in schizophrenia, association"	DRD3
Tarsal/carpal coalition syndrome	NOG
Tay-Sachs disease	HEXA
Telethonin deficiency	TCAP
Telomere phenotypes	DKC1
Temporal lobe epilepsy	CPA6
"Temporal lobe epilepsy, association with"	"c(\CPA6\"", \""GABBR1\"")"""
Temporomandibular disorder	COMT
Temtamy preaxial brachydactyly syndrome	CHSY1
Tenascin-X deficiency	TNXB
Teratozoospermia	ZPBP
Testicular dysgenesis syndrome	AR
Testicular germ cell tumour	DND1
"Testicular germ cell tumour, association with"	PDE11A
Tetra-amelia	WNT3
Tetrahydrobiopterin deficiency	"c(\GCH1\"", \""PTS\"", \""SPR\"")"""
Tetralogy of Fallot	"c(\ALDH1A2\"", \""BARX1\"", \""BCCIP\"", \""BVES\"", \""DAG1\"", \""EDN1\"", \""FANCL\"", \""FANCM\"", \""FMR1\"", \""FOXK1\"", \""GATA4\"", \""GATA5\"", \""GATA6\"", \""GJA5\"", \""HCN2\"", \""JAG1\"", \""KCNH2\"", \""MYOM2\"", \""NKX2-5\"", \""NKX2-6\"", \""NODAL\"", \""PEX6\"", \""ROCK1\"", \""TCEB3\"", \""TP53BP2\"", \""WBSCR16\"", \""ZFPM2\"")"""
"Tetralogy of Fallot, predisposition to"	ROCK1
Teunissen-Cremers syndrome	NOG
Thalassaemia	AHSP
Thalassaemia alpha	"c(\EPB42\"", \""HBA1\"", \""HBA2\"")"""
Thalassaemia alpha intermedia	HBA2
Thalassaemia beta	"c(\HBB\"", \""HBD\"")"""
Thalassaemia delta	HBD
Thanatophoric dwarfism	FGFR3
Thanatophoric dysplasia	FGFR3
Thiamine pyrophosphokinase deficiency	TPK1
Thin basement membrane disease	"c(\COL4A4\"", \""NPHS2\"")"""
Thiopurine S-methyltransferase variant	TPMT
"Thiopurine-induced leukopenia, association with"	"c(\FBLN2\"", \""NUDT15\"")"""
Thoracic aortic aneurysm	"c(\ACTA2\"", \""MYH11\"")"""
Thoracic aortic aneurysm and patent ductus arteriosus	MYH11
Thoracic aortic aneurysm or dissection	FBN1
Thoracic aortic aneurysms and dissections	"c(\ACTA2\"", \""COL3A1\"", \""FBN1\"", \""MYH11\"", \""PRKG1\"", \""SLC2A10\"", \""SMAD3\"", \""TGFB2\"", \""TGFBR1\"")"""
Thoracic aortic aneurysms and dissections and patent ductus arteriosus	MYH11
Thoracic aortic disease & coronary artery disease	ACTA2
Thoracic aortic disease & strokes	ACTA2
"Thoracic aortic disease, coronary artery disease & strokes"	ACTA2
Thromboasthenia-like phenotype	ITGB3
"Thrombocythaemia, essential"	MPL
Thrombocytopaenia	"c(\ACBD5\"", \""CYCS\"", \""FLNA\"", \""ITGB3\"", \""MASTL\"", \""RUNX1\"", \""SBF2\"", \""WAS\"")"""
Thrombocytopaenia 1	GATA1
Thrombocytopaenia 2	ANKRD26
Thrombocytopaenia-absent radius syndrome	RBM8A
Thrombocytosis	"c(\JAK2\"", \""MPL\"")"""
"Thrombocytosis, association with"	MPL
Thromboembolic disease	THBD
"Thromboembolic disease, association with"	"c(\THBD\"", \""WRN\"")"""
Thrombophilia	"c(\F9\"", \""PROC\"", \""PROS1\"", \""SERPINC1\"")"""
